Menu Category,Menu Items,Serve_Size,Calories,Protein,Total_fat,Cholesterols,Total_carbohydrate,Total_Sugars
McCafe Menu,Strawberry Green Tea (S),279 ml,7.03,0.47,0.28,2.79,2.79,1.4
McCafe Menu,Strawberry Green Tea (R),330 ml,8.32,0.56,0.33,3.3,3.3,1.65
McCafe Menu,Strawberry Green Tea (L),456 ml,11.49,0.78,0.46,4.56,4.56,2.28
McCafe Menu,Lemon Ice Tea,245 ml,121.86,0.27,0.17,1.65,30.59,26.53
McCafe Menu,Strawberry Ice Tea,236.5 ml,94.95,0.24,0.16,1.57,24.17,21.1
McCafe Menu,Green Apple Ice Tea,236.5 ml,94.94,0.24,0.16,1.57,24.17,20.75
McCafe Menu,Iced Coffee,291.5 ml,185.34,4.36,4.45,12.13,31.88,26.95
McCafe Menu,Cold Coffee Frappe,296.5 ml,331.17,4.98,14.73,9.18,45.39,35.57
McCafe Menu,Mocha Frappe,320.5 ml,397.98,5.49,15.01,9.42,60.93,47.55
McCafe Menu,Chocolate Oreo Frappe,334 ml,481.11,6.03,18.89,9.36,72.51,55.14
McCafe Menu,Strawberry Shake,259 ml,255.51,3.67,7.44,8.39,44.07,37.42
McCafe Menu,Chocolate Shake,259 ml,270.9,4.16,7.7,8.39,46.76,37.78
McCafe Menu,Mango Smoothie,280 ml,231.44,3.21,3.63,9.89,46.25,38.87
McCafe Menu,Mixed Berry Smoothie,290 ml,235.43,3.33,3.59,9.99,47.16,43
McCafe Menu,Raw Mango Cooler,310 ml,102.38,0.14,0.04,0.4,25.18,21.06
McCafe Menu,Mix Berry Cooler,310 ml,103.85,0.16,0.04,0.4,25.56,21.25
McCafe Menu,Sweet Lime Beverage,310 ml,128.21,0.07,0.08,0,31.72,28.72
McCafe Menu,Iced Americano,266.5 ml,150.85,3.59,3.57,9.76,26.01,21.58
McCafe Menu,American Mud Pie Shake,317 ml,398.19,5.67,12.77,10.89,64.75,53.4
McCafe Menu,Soft serve cone,81.29 g,85.73,1.99,1.82,4.75,15.23,10.68
McCafe Menu,McSwirl ChocoDip,93.29 g,160.14,2.71,7.14,5.71,20.92,15.39
McCafe Menu,Regular Soft Serve: Hot Fudge,91.79 g,121.64,2.25,4.02,5.85,19.11,17.07
McCafe Menu,Medium Soft Serve: Hot Fudge,132.08 g,197.45,3.49,6.87,8.55,30.42,27.01
McCafe Menu,Regular Soft Serve: Strawberry,91.79 g,100.99,1.54,1.77,4.85,19.78,17.66
McCafe Menu,Medium Soft Serve: Strawberry,132.08 g,156.14,2.05,2.36,6.55,31.77,28.2
McCafe Menu,Regular Soft Serve: Brownie with Hot Fudge,110.79 g,205.26,3.2,5.45,6.04,35.26,20.75
McCafe Menu,Medium Soft Serve: Brownie with Hot Fudge,155.08 g,311.39,4.65,7.46,7.78,55.24,27.94
McCafe Menu,Regular Blackforest,125.79 g,237.89,3.22,5.47,6.19,43.42,27.79
McCafe Menu,Medium Blackforest,200.08 g,429.95,5.42,9.76,9.23,79.04,48.45
Desserts Menu,Small McFlurry - Oreo,86.79 g,116.36,2.05,3.7,4.8,18.69,14.49
Desserts Menu,Regular McFlurry - Oreo,147.38 g,209.39,3.58,6.81,8,33.42,25.35
